224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.5,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
223.8,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.4,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.2,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
223.9,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
224.1,0,0,11844,50,0,Unplugged
